,total,cat1,cat2,cat3,cat4,cat5,cat6
1st,590,537,53,0,0,0,0
2nd,49,47,2,0,0,0,0
3rd,24,23,1,0,0,0,0
4th,31,28,3,0,0,0,0
5th,18,17,1,0,0,0,0
6th,7,4,3,0,0,0,0
7th,27,25,2,0,0,0,0
8th,1,1,0,0,0,0,0
9th,7,6,1,0,0,0,0
10th,6,5,1,0,0,0,0
11st,51,46,5,0,0,0,0
12nd,72,66,6,0,0,0,0
13rd,52,49,3,0,0,0,0
14th,13,12,1,0,0,0,0
15th,53,50,3,0,0,0,0
placed,1001,916,85,0,0,0,0
not_placed,538,0,117,158,148,101,14
total,1539,916,202,158,148,101,14
