,total,cat1,cat2,cat3,cat4,cat5,cat6
1st,4.938271604938271,8.078602620087336,0.9900990099009901,0.0,0.0,0.0,0.0
2nd,7.862248213125406,12.663755458515285,2.4752475247524752,0.0,0.0,0.0,0.0
3rd,3.313840155945419,5.349344978165939,0.9900990099009901,0.0,0.0,0.0,0.0
4th,4.158544509421702,6.441048034934497,2.4752475247524752,0.0,0.0,0.0,0.0
5th,3.508771929824561,3.493449781659389,10.891089108910892,0.0,0.0,0.0,0.0
6th,4.808317089018844,7.532751091703057,2.4752475247524752,0.0,0.0,0.0,0.0
7th,3.508771929824561,5.567685589519651,1.4851485148514851,0.0,0.0,0.0,0.0
8th,4.418453541260559,7.096069868995633,1.4851485148514851,0.0,0.0,0.0,0.0
9th,4.613385315139701,7.096069868995633,2.9702970297029703,0.0,0.0,0.0,0.0
10th,3.313840155945419,5.458515283842795,0.49504950495049505,0.0,0.0,0.0,0.0
11th,4.093567251461988,5.676855895196507,5.445544554455446,0.0,0.0,0.0,0.0
12th,2.599090318388564,4.148471615720524,0.9900990099009901,0.0,0.0,0.0,0.0
13th,3.183885640025991,4.9126637554585155,1.9801980198019802,0.0,0.0,0.0,0.0
14th,4.288499025341131,6.986899563318778,0.9900990099009901,0.0,0.0,0.0,0.0
15th,6.042884990253412,9.497816593886462,2.9702970297029703,0.0,0.0,0.0,0.0
placed,64.65237166991552,100.0,39.10891089108911,0.0,0.0,0.0,0.0
not_placed,35.34762833008447,0.0,60.89108910891089,100.0,100.0,100.0,100.0
