,total,cat1,cat2,cat3,cat4,cat5,cat6
1st,380,355,25,0,0,0,0
2nd,69,64,5,0,0,0,0
3rd,42,39,3,0,0,0,0
4th,51,49,2,0,0,0,0
5th,64,57,7,0,0,0,0
6th,50,49,1,0,0,0,0
7th,49,41,8,0,0,0,0
8th,65,57,8,0,0,0,0
9th,47,42,5,0,0,0,0
10th,41,35,6,0,0,0,0
11th,36,32,4,0,0,0,0
12th,73,69,4,0,0,0,0
13th,30,26,4,0,0,0,0
14th,3,1,2,0,0,0,0
15th,0,0,0,0,0,0,0
placed,1000,916,84,0,0,0,0
not_placed,539,0,118,158,148,101,14
total,1539,916,202,158,148,101,14
