,total,cat1,cat2,cat3,cat4,cat5,cat6
1st,97,93,4,0,0,0,0
2nd,67,66,1,0,0,0,0
3rd,60,52,8,0,0,0,0
4th,58,52,6,0,0,0,0
5th,56,56,0,0,0,0,0
6th,60,54,6,0,0,0,0
7th,96,92,4,0,0,0,0
8th,72,66,6,0,0,0,0
9th,95,86,9,0,0,0,0
10th,74,69,5,0,0,0,0
11th,58,54,4,0,0,0,0
12th,61,57,4,0,0,0,0
13th,61,55,6,0,0,0,0
14th,58,45,13,0,0,0,0
15th,25,19,6,0,0,0,0
placed,998,916,82,0,0,0,0
not_placed,541,0,120,158,148,101,14
total,1539,916,202,158,148,101,14
