,total,cat1,cat2,cat3,cat4,cat5,cat6
1st,573,569,4,0,0,0,0
2nd,102,96,6,0,0,0,0
3rd,51,47,4,0,0,0,0
4th,55,41,14,0,0,0,0
5th,47,42,5,0,0,0,0
6th,52,32,20,0,0,0,0
7th,54,43,11,0,0,0,0
8th,20,18,2,0,0,0,0
9th,8,4,4,0,0,0,0
10th,10,9,1,0,0,0,0
11th,7,5,2,0,0,0,0
12th,13,10,3,0,0,0,0
13th,6,0,6,0,0,0,0
14th,26,0,26,0,0,0,0
15th,3,0,3,0,0,0,0
placed,1027,916,111,0,0,0,0
not_placed,512,0,91,158,148,101,14
total,1539,916,202,158,148,101,14
