,total,cat1,cat2,cat3,cat4,cat5,cat6
1st,235,235,0,0,0,0,0
2nd,6,6,0,0,0,0,0
3rd,6,6,0,0,0,0,0
4th,0,0,0,0,0,0,0
5th,2,1,1,0,0,0,0
6th,0,0,0,0,0,0,0
7th,6,5,1,0,0,0,0
8th,0,0,0,0,0,0,0
9th,15,14,1,0,0,0,0
10th,5,0,5,0,0,0,0
11th,4,2,2,0,0,0,0
12th,4,2,2,0,0,0,0
13th,2,0,2,0,0,0,0
14th,1,0,1,0,0,0,0
15th,17,0,17,0,0,0,0
placed,303,271,32,0,0,0,0
not_placed,147,0,30,31,52,28,6
total,1539,916,202,158,148,101,14
