,total,cat1,cat2,cat3,cat4,cat5,cat6
1st,427,393,34,0,0,0,0
2nd,283,258,25,0,0,0,0
3rd,150,136,14,0,0,0,0
4th,83,75,8,0,0,0,0
5th,35,31,4,0,0,0,0
6th,17,17,0,0,0,0,0
7th,3,3,0,0,0,0,0
8th,3,2,1,0,0,0,0
9th,1,1,0,0,0,0,0
10th,0,0,0,0,0,0,0
11st,0,0,0,0,0,0,0
12nd,0,0,0,0,0,0,0
13rd,0,0,0,0,0,0,0
14th,0,0,0,0,0,0,0
15th,0,0,0,0,0,0,0
placed,1002,916,86,0,0,0,0
not_placed,537,0,116,158,148,101,14
total,1539,916,202,158,148,101,14
