,total,cat1,cat2,cat3,cat4,cat5,cat6
1st,97,90,7,0,0,0,0
2nd,108,104,4,0,0,0,0
3rd,113,102,11,0,0,0,0
4th,115,106,9,0,0,0,0
5th,51,44,7,0,0,0,0
6th,118,107,11,0,0,0,0
7th,74,64,10,0,0,0,0
8th,67,60,7,0,0,0,0
9th,57,54,3,0,0,0,0
10th,99,91,8,0,0,0,0
11th,89,81,8,0,0,0,0
12th,3,3,0,0,0,0,0
13th,2,2,0,0,0,0,0
14th,9,8,1,0,0,0,0
15th,0,0,0,0,0,0,0
placed,1002,916,86,0,0,0,0
not_placed,537,0,116,158,148,101,14
total,1539,916,202,158,148,101,14
